File,Minor,Major,Total,Ownership,Bugs
ModifiableSolrParamsTest.java,46.0,0.0,46.0,0.33333334,0.0
DirectDocValuesConsumer.java,45.0,1.0,46.0,0.6666667,0.0
CategoryTokenizerBase.java,45.0,1.0,46.0,0.5,0.0
XSLTResponseWriter.java,46.0,0.0,46.0,0.25,0.0
TestMultiPhraseQueryParsing.java,46.0,0.0,46.0,0.42857143,4.0
TestSynonymMapFilter.java,46.0,0.0,46.0,0.44444445,8.0
ListenerConfig.java,46.0,0.0,46.0,0.33333334,0.0
SimpleCharStream.java,45.0,1.0,46.0,0.6363636,0.0
Lucene40NormsFormat.java,46.0,0.0,46.0,0.46153846,3.0
Lucene41SimpleNormsProducer.java,45.0,1.0,46.0,1.0,0.0
SpanFirstBuilder.java,46.0,0.0,46.0,0.44444445,0.0
ByteRunAutomaton.java,46.0,0.0,46.0,0.2857143,1.0
ConfigSolrXmlOld.java,46.0,0.0,46.0,0.36842105,0.0
LZ4.java,45.0,1.0,46.0,1.0,1.0
TokenRangeSinkTokenizerTest.java,45.0,1.0,46.0,1.0,1.0
ComplexExplanation.java,46.0,0.0,46.0,0.33333334,0.0
ClassicTokenizerFactory.java,46.0,0.0,46.0,0.3529412,5.0
SolrCore.java,46.0,0.0,46.0,0.32298136,3.0
PercentileStatsCollector.java,44.0,2.0,46.0,0.5,0.0
TestSearchWithThreads.java,46.0,0.0,46.0,0.36842105,4.0
NLSException.java,45.0,1.0,46.0,0.5,0.0
ContentStreamUpdateRequest.java,45.0,1.0,46.0,0.5,0.0
TestNGramFilters.java,45.0,1.0,46.0,0.5714286,2.0
IdentityReducer.java,45.0,1.0,46.0,1.0,0.0
NamedListPluginLoader.java,46.0,0.0,46.0,0.4,0.0
FieldsProducer.java,46.0,0.0,46.0,0.31578946,1.0
TestICUCollationField.java,46.0,0.0,46.0,0.45454547,0.0
MapInitializedPlugin.java,46.0,0.0,46.0,0.25,0.0
TestPostingsFormat.java,46.0,0.0,46.0,0.47826087,5.0
CategoryListIteratorTest.java,46.0,0.0,46.0,0.36363637,2.0
QueryParserTestBase.java,45.0,1.0,46.0,0.5,13.0
TestICUFoldingFilterFactory.java,45.0,1.0,46.0,0.625,1.0
IndexableField.java,46.0,0.0,46.0,0.4117647,1.0
CurrentCoreDescriptorProvider.java,44.0,2.0,46.0,0.5,0.0
TestInitQParser.java,45.0,1.0,46.0,1.0,0.0
InstantiatedDocsAndPositionsEnum.java,45.0,1.0,46.0,0.6,0.0
